age,marital,education,duration,target
30,married,primary,79,no
33,married,secondary,220,no
35,single,tertiary,NA,yes
NA,married,tertiary,199,no
59,married,secondary,5,no
35,single,tertiary,141,yes
36,married,tertiary,341,no
NA,married,secondary,151,yes
41,married,tertiary,57,no
43,NA,primary,313,no
2,married,secondary,273,yes
43,married,secondary,NA,no
36,married,tertiary,328,no
20,single,secondary,261,yes
31,married,secondary,89,no
40,married,tertiary,189,no
56,married,secondary,239,yes
118,single,tertiary,114,yes
25,single,primary,1250,no
31,married,secondary,148,no
